epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,320.963,1.14385,1.37796,0.95185,0.54277,0.15789,0.18448,0.12387,1.43836,3.61135,1.07628,0.0003045,0.0003045,0.0003045
62,326.427,1.1563,1.49461,0.92497,0.54277,0.15789,0.18448,0.12387,1.43836,3.61135,1.07628,0.000302026,0.000302026,0.000302026
63,331.369,1.03694,1.38355,0.92822,0.53025,0.15617,0.19385,0.12877,1.43151,3.54585,1.07464,0.000299305,0.000299305,0.000299305
64,336.484,1.14274,1.45469,0.93496,0.53025,0.15617,0.19385,0.12877,1.43151,3.54585,1.07464,0.000296336,0.000296336,0.000296336
65,341.44,1.12792,1.33724,0.95379,0.53025,0.15617,0.19385,0.12877,1.43151,3.54585,1.07464,0.00029312,0.00029312,0.00029312
66,346.639,1.06844,1.31682,0.9293,0.51154,0.15179,0.19954,0.12886,1.42477,3.46977,1.0784,0.000289656,0.000289656,0.000289656
67,352.011,1.03152,1.13478,0.91421,0.51154,0.15179,0.19954,0.12886,1.42477,3.46977,1.0784,0.000285945,0.000285945,0.000285945
68,357.328,1.18049,1.41549,0.92747,0.51154,0.15179,0.19954,0.12886,1.42477,3.46977,1.0784,0.000281986,0.000281986,0.000281986
69,362.506,1.17558,1.30772,0.92954,0.26216,0.15606,0.20588,0.12912,1.41316,3.4037,1.07457,0.00027778,0.00027778,0.00027778
70,367.659,1.11191,1.28297,0.93467,0.26216,0.15606,0.20588,0.12912,1.41316,3.4037,1.07457,0.000273326,0.000273326,0.000273326
71,372.911,1.10836,1.36124,0.92218,0.26216,0.15606,0.20588,0.12912,1.41316,3.4037,1.07457,0.000268625,0.000268625,0.000268625
72,378.022,1.1095,1.21975,0.90266,0.37273,0.16812,0.22416,0.13965,1.41969,3.30786,1.07306,0.000263676,0.000263676,0.000263676
73,383.073,1.03314,1.25501,0.89603,0.37273,0.16812,0.22416,0.13965,1.41969,3.30786,1.07306,0.00025848,0.00025848,0.00025848
74,388.395,1.0413,1.12439,0.91915,0.37273,0.16812,0.22416,0.13965,1.41969,3.30786,1.07306,0.000253036,0.000253036,0.000253036
75,393.412,1.03326,1.13171,0.90379,0.37014,0.19077,0.24211,0.15041,1.403,3.21338,1.05495,0.000247345,0.000247345,0.000247345
76,398.629,1.05662,1.25992,0.92021,0.37014,0.19077,0.24211,0.15041,1.403,3.21338,1.05495,0.000241406,0.000241406,0.000241406
77,403.808,1.1363,1.23206,0.91878,0.37014,0.19077,0.24211,0.15041,1.403,3.21338,1.05495,0.00023522,0.00023522,0.00023522
78,408.909,1.08684,1.16129,0.93944,0.39437,0.21427,0.26627,0.17145,1.42007,3.11498,1.04943,0.000228786,0.000228786,0.000228786
79,414.085,1.07381,1.18517,0.91726,0.39437,0.21427,0.26627,0.17145,1.42007,3.11498,1.04943,0.000222105,0.000222105,0.000222105
80,419.235,1.06955,1.21525,0.92486,0.39437,0.21427,0.26627,0.17145,1.42007,3.11498,1.04943,0.000215176,0.000215176,0.000215176
81,424.413,1.07839,1.19933,0.92875,0.37509,0.23807,0.28435,0.18431,1.4145,3.02339,1.04069,0.000208,0.000208,0.000208
82,429.771,1.05531,1.10063,0.89245,0.37509,0.23807,0.28435,0.18431,1.4145,3.02339,1.04069,0.000200576,0.000200576,0.000200576
83,434.883,0.96195,1.05005,0.88891,0.37509,0.23807,0.28435,0.18431,1.4145,3.02339,1.04069,0.000192905,0.000192905,0.000192905
84,439.999,1.06795,1.13992,0.90694,0.38508,0.27347,0.31174,0.19976,1.41393,2.95485,1.03722,0.000184986,0.000184986,0.000184986
85,445.282,1.08441,1.11968,0.88713,0.38508,0.27347,0.31174,0.19976,1.41393,2.95485,1.03722,0.00017682,0.00017682,0.00017682
86,450.374,1.04379,1.03719,0.9453,0.38508,0.27347,0.31174,0.19976,1.41393,2.95485,1.03722,0.000168406,0.000168406,0.000168406
87,455.43,1.02685,1.02755,0.91268,0.38508,0.27347,0.31174,0.19976,1.41393,2.95485,1.03722,0.000159745,0.000159745,0.000159745
88,460.78,0.95909,1.04122,0.90645,0.38272,0.3328,0.33274,0.21209,1.40729,2.89037,1.03014,0.000150836,0.000150836,0.000150836
89,465.974,0.9576,1.00276,0.91435,0.38272,0.3328,0.33274,0.21209,1.40729,2.89037,1.03014,0.00014168,0.00014168,0.00014168
90,471.208,0.94352,1.30972,0.8841,0.38272,0.3328,0.33274,0.21209,1.40729,2.89037,1.03014,0.000132276,0.000132276,0.000132276
91,476,1.03801,1.21983,0.9162,0.38272,0.3328,0.33274,0.21209,1.40729,2.89037,1.03014,0.000122625,0.000122625,0.000122625
92,481.093,1.05323,1.24252,0.89262,0.38215,0.34635,0.34514,0.21821,1.40452,2.81124,1.02576,0.000112726,0.000112726,0.000112726
93,486.345,1.03606,1.18366,0.90572,0.38215,0.34635,0.34514,0.21821,1.40452,2.81124,1.02576,0.00010258,0.00010258,0.00010258
94,491.314,1.01926,1.16191,0.90763,0.38215,0.34635,0.34514,0.21821,1.40452,2.81124,1.02576,9.21862e-05,9.21862e-05,9.21862e-05
95,496.315,1.02494,1.16861,0.91649,0.38215,0.34635,0.34514,0.21821,1.40452,2.81124,1.02576,8.1545e-05,8.1545e-05,8.1545e-05
96,501.326,0.99492,1.18065,0.89455,0.37592,0.36525,0.35373,0.22505,1.39201,2.76808,1.01977,7.06563e-05,7.06563e-05,7.06563e-05
97,506.457,1.03505,1.18006,0.90598,0.37592,0.36525,0.35373,0.22505,1.39201,2.76808,1.01977,5.952e-05,5.952e-05,5.952e-05
98,511.615,1.08628,1.15174,0.92913,0.37592,0.36525,0.35373,0.22505,1.39201,2.76808,1.01977,4.81363e-05,4.81363e-05,4.81363e-05
99,516.818,1.08238,1.1841,0.9145,0.37592,0.36525,0.35373,0.22505,1.39201,2.76808,1.01977,3.6505e-05,3.6505e-05,3.6505e-05
100,521.807,0.96266,1.14195,0.88993,0.38573,0.4058,0.36229,0.23173,1.38789,2.74359,1.01577,2.46263e-05,2.46263e-05,2.46263e-05
