epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,248.39,0.97273,1.31774,0.88719,0.46428,0.28921,0.28379,0.19539,1.35788,3.05242,1.04158,0.000273326,0.000273326,0.000273326
71,251.93,1.05555,1.28677,0.94417,0.46428,0.28921,0.28379,0.19539,1.35788,3.05242,1.04158,0.000268625,0.000268625,0.000268625
72,255.515,1.07717,1.26181,0.92165,0.48671,0.29107,0.26173,0.17787,1.36231,3.0333,1.04858,0.000263676,0.000263676,0.000263676
73,259.151,0.99481,1.14514,0.88307,0.48671,0.29107,0.26173,0.17787,1.36231,3.0333,1.04858,0.00025848,0.00025848,0.00025848
74,262.852,1.11299,1.21433,0.91585,0.48671,0.29107,0.26173,0.17787,1.36231,3.0333,1.04858,0.000253036,0.000253036,0.000253036
75,266.493,1.03622,1.11959,0.89774,0.4609,0.30604,0.2856,0.19718,1.3628,3.01946,1.05,0.000247345,0.000247345,0.000247345
76,270.064,1.0271,1.04756,0.91528,0.4609,0.30604,0.2856,0.19718,1.3628,3.01946,1.05,0.000241406,0.000241406,0.000241406
77,273.606,1.03035,0.99518,0.92399,0.4609,0.30604,0.2856,0.19718,1.3628,3.01946,1.05,0.00023522,0.00023522,0.00023522
78,277.264,0.98751,1.00861,0.91411,0.45275,0.30587,0.27064,0.18751,1.36053,3.01249,1.04963,0.000228786,0.000228786,0.000228786
79,280.848,1.00781,1.07832,0.9149,0.45275,0.30587,0.27064,0.18751,1.36053,3.01249,1.04963,0.000222105,0.000222105,0.000222105
80,284.468,0.99479,1.06301,0.92053,0.45275,0.30587,0.27064,0.18751,1.36053,3.01249,1.04963,0.000215176,0.000215176,0.000215176
81,288.025,1.00352,1.07929,0.92309,0.44836,0.31841,0.25406,0.18004,1.35735,2.98822,1.045,0.000208,0.000208,0.000208
82,291.661,0.93686,1.0719,0.91509,0.44836,0.31841,0.25406,0.18004,1.35735,2.98822,1.045,0.000200576,0.000200576,0.000200576
83,295.368,1.02053,1.09019,0.90211,0.44836,0.31841,0.25406,0.18004,1.35735,2.98822,1.045,0.000192905,0.000192905,0.000192905
84,298.882,0.93065,0.94138,0.90196,0.45606,0.32656,0.2548,0.17718,1.35208,2.96497,1.0453,0.000184986,0.000184986,0.000184986
85,302.41,0.93843,0.9742,0.8797,0.45606,0.32656,0.2548,0.17718,1.35208,2.96497,1.0453,0.00017682,0.00017682,0.00017682
86,306.053,1.00757,1.06782,0.91518,0.45606,0.32656,0.2548,0.17718,1.35208,2.96497,1.0453,0.000168406,0.000168406,0.000168406
87,309.779,0.89277,0.97723,0.88894,0.45606,0.32656,0.2548,0.17718,1.35208,2.96497,1.0453,0.000159745,0.000159745,0.000159745
88,313.409,0.98998,1.13138,0.90847,0.42891,0.33201,0.25911,0.1801,1.3536,2.92612,1.04279,0.000150836,0.000150836,0.000150836
89,316.987,0.80742,0.93201,0.86225,0.42891,0.33201,0.25911,0.1801,1.3536,2.92612,1.04279,0.00014168,0.00014168,0.00014168
90,320.69,1.02002,1.0804,0.89522,0.42891,0.33201,0.25911,0.1801,1.3536,2.92612,1.04279,0.000132276,0.000132276,0.000132276
91,324.221,0.95808,1.06617,0.89333,0.42891,0.33201,0.25911,0.1801,1.3536,2.92612,1.04279,0.000122625,0.000122625,0.000122625
92,327.698,1.00326,1.19096,0.88786,0.39604,0.34719,0.26549,0.18165,1.34993,2.84428,1.03545,0.000112726,0.000112726,0.000112726
93,331.216,0.95709,1.06987,0.9063,0.39604,0.34719,0.26549,0.18165,1.34993,2.84428,1.03545,0.00010258,0.00010258,0.00010258
94,334.722,1.02752,1.2192,0.92624,0.39604,0.34719,0.26549,0.18165,1.34993,2.84428,1.03545,9.21862e-05,9.21862e-05,9.21862e-05
95,338.058,0.98181,1.14285,0.96244,0.39604,0.34719,0.26549,0.18165,1.34993,2.84428,1.03545,8.1545e-05,8.1545e-05,8.1545e-05
96,341.482,0.95727,1.03597,0.86683,0.35006,0.34709,0.29741,0.20582,1.35662,2.76267,1.02279,7.06563e-05,7.06563e-05,7.06563e-05
97,344.858,0.92481,1.11477,0.89127,0.35006,0.34709,0.29741,0.20582,1.35662,2.76267,1.02279,5.952e-05,5.952e-05,5.952e-05
98,348.234,0.98613,1.18738,0.9107,0.35006,0.34709,0.29741,0.20582,1.35662,2.76267,1.02279,4.81363e-05,4.81363e-05,4.81363e-05
99,351.718,1.01299,1.12538,0.88628,0.35006,0.34709,0.29741,0.20582,1.35662,2.76267,1.02279,3.6505e-05,3.6505e-05,3.6505e-05
100,355.189,0.9654,1.09055,0.91334,0.34042,0.38396,0.3256,0.22458,1.3583,2.67445,1.00853,2.46263e-05,2.46263e-05,2.46263e-05
